row_index,column,original_value,new_value,method
240,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_45/fold_04/metrics.json,proposed/chilli_lite_gfnet/within_cv/B_within/seed_45/fold_04/metrics.json,anchor
241,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_43/fold_02/metrics.json,proposed/chilli_lite_gfnet/within_cv/B_within/seed_43/fold_02/metrics.json,anchor
242,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_44/fold_03/metrics.json,proposed/chilli_lite_gfnet/within_cv/B_within/seed_44/fold_03/metrics.json,anchor
243,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_42/fold_01/metrics.json,proposed/chilli_lite_gfnet/within_cv/B_within/seed_42/fold_01/metrics.json,anchor
244,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_46/fold_05/metrics.json,proposed/chilli_lite_gfnet/within_cv/B_within/seed_46/fold_05/metrics.json,anchor
245,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_45/fold_04/metrics.json,proposed/chilli_lite_gfnet/within_cv/A_within/seed_45/fold_04/metrics.json,anchor
246,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_43/fold_02/metrics.json,proposed/chilli_lite_gfnet/within_cv/A_within/seed_43/fold_02/metrics.json,anchor
247,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_44/fold_03/metrics.json,proposed/chilli_lite_gfnet/within_cv/A_within/seed_44/fold_03/metrics.json,anchor
248,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_42/fold_01/metrics.json,proposed/chilli_lite_gfnet/within_cv/A_within/seed_42/fold_01/metrics.json,anchor
249,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_46/fold_05/metrics.json,proposed/chilli_lite_gfnet/within_cv/A_within/seed_46/fold_05/metrics.json,anchor
250,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/C_within/seed_45/fold_04/metrics.json,proposed/chilli_lite_gfnet/within_cv/C_within/seed_45/fold_04/metrics.json,anchor
251,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/C_within/seed_43/fold_02/metrics.json,proposed/chilli_lite_gfnet/within_cv/C_within/seed_43/fold_02/metrics.json,anchor
252,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/C_within/seed_44/fold_03/metrics.json,proposed/chilli_lite_gfnet/within_cv/C_within/seed_44/fold_03/metrics.json,anchor
253,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/C_within/seed_42/fold_01/metrics.json,proposed/chilli_lite_gfnet/within_cv/C_within/seed_42/fold_01/metrics.json,anchor
254,metrics_path,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/C_within/seed_46/fold_05/metrics.json,proposed/chilli_lite_gfnet/within_cv/C_within/seed_46/fold_05/metrics.json,anchor
255,metrics_path,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/proposed/chilli_lite_gfnet/pairwise/C_to_A/seed_42/metrics.json,proposed/chilli_lite_gfnet/pairwise/C_to_A/seed_42/metrics.json,anchor
