dataset_id,path,label,sha256,group_id
A,/home/eecommulab/Documents/BT/Chilli_CrossDataset/data/raw/dataset_A_bangladesh/Chili Plant Leaf Disease and Growth Stage Dataset from Bangladesh/Chili Leaf Disease Original Dataset/Chili Leaf Disease Original Dataset/Cercospora Leaf Spot/Cercospora Leaf Spot00001.JPG,cercospora_leaf_spot,7c012c8ccc128f3c0bd3494bfd4070ea6a05a676874f160bcee09ede234e5cde,7c012c8ccc128f3c0bd3494bfd4070ea6a05a676874f160bcee09ede234e5cde
A,/home/eecommulab/Documents/BT/Chilli_CrossDataset/data/raw/dataset_A_bangladesh/Chili Plant Leaf Disease and Growth Stage Dataset from Bangladesh/Chili Leaf Disease Original Dataset/Chili Leaf Disease Original Dataset/Cercospora Leaf Spot/Cercospora Leaf Spot00002.JPG,cercospora_leaf_spot,23c03a01aff58c9299490b578c3888078e75b759752dc1b79f22c6261b11cd1c,23c03a01aff58c9299490b578c3888078e75b759752dc1b79f22c6261b11cd1c
A,/home/eecommulab/Documents/BT/Chilli_CrossDataset/data/raw/dataset_A_bangladesh/Chili Plant Leaf Disease and Growth Stage Dataset from Bangladesh/Chili Leaf Disease Original Dataset/Chili Leaf Disease Original Dataset/Cercospora Leaf Spot/Cercospora Leaf Spot00003.JPG,cercospora_leaf_spot,d99e8f145ec3d1960780135c86ad23057ac2eca8102c742249db4dee3eec5743,d99e8f145ec3d1960780135c86ad23057ac2eca8102c742249db4dee3eec5743
A,/home/eecommulab/Documents/BT/Chilli_CrossDataset/data/raw/dataset_A_bangladesh/Chili Plant Leaf Disease and Growth Stage Dataset from Bangladesh/Chili Leaf Disease Original Dataset/Chili Leaf Disease Original Dataset/Cercospora Leaf Spot/Cercospora Leaf Spot00004.JPG,cercospora_leaf_spot,b2edc216cc0d34e630776af3661c0337e592319f4e4ce81961b3610b60cc62d6,b2edc216cc0d34e630776af3661c0337e592319f4e4ce81961b3610b60cc62d6
A,/home/eecommulab/Documents/BT/Chilli_CrossDataset/data/raw/dataset_A_bangladesh/Chili Plant Leaf Disease and Growth Stage Dataset from Bangladesh/Chili Leaf Disease Original Dataset/Chili Leaf Disease Original Dataset/Cercospora Leaf Spot/Cercospora Leaf Spot00005.JPG,cercospora_leaf_spot,1dc5576e3c602f60ad809e5cf36aa01dbd85823e00eaa6ba1805a5a0d26bd52d,1dc5576e3c602f60ad809e5cf36aa01dbd85823e00eaa6ba1805a5a0d26bd52d
A,/home/eecommulab/Documents/BT/Chilli_CrossDataset/data/raw/dataset_A_bangladesh/Chili Plant Leaf Disease and Growth Stage Dataset from Bangladesh/Chili Leaf Disease Original Dataset/Chili Leaf Disease Original Dataset/Cercospora Leaf Spot/Cercospora Leaf Spot00006.JPG,cercospora_leaf_spot,19dee6a6ed7526dca7ae3fb253b137d91e00d2c78c1650bb489276be8eca85bf,19dee6a6ed7526dca7ae3fb253b137d91e00d2c78c1650bb489276be8eca85bf
A,/home/eecommulab/Documents/BT/Chilli_CrossDataset/data/raw/dataset_A_bangladesh/Chili Plant Leaf Disease and Growth Stage Dataset from Bangladesh/Chili Leaf Disease Original Dataset/Chili Leaf Disease Original Dataset/Cercospora Leaf Spot/Cercospora Leaf Spot00007.JPG,cercospora_leaf_spot,1e5c4967b1a5aad08eaa2b023c340835b5ff78193854d014ac859d7033a18324,1e5c4967b1a5aad08eaa2b023c340835b5ff78193854d014ac859d7033a18324
A,/home/eecommulab/Documents/BT/Chilli_CrossDataset/data/raw/dataset_A_bangladesh/Chili Plant Leaf Disease and Growth Stage Dataset from Bangladesh/Chili Leaf Disease Original Dataset/Chili Leaf Disease Original Dataset/Cercospora Leaf Spot/Cercospora Leaf Spot00008.JPG,cercospora_leaf_spot,6e807dd9e527bfabb4d77caf15a18051e373e1e872a700b6c4d5c861833a5d06,6e807dd9e527bfabb4d77caf15a18051e373e1e872a700b6c4d5c861833a5d06
A,/home/eecommulab/Documents/BT/Chilli_CrossDataset/data/raw/dataset_A_bangladesh/Chili Plant Leaf Disease and Growth Stage Dataset from Bangladesh/Chili Leaf Disease Original Dataset/Chili Leaf Disease Original Dataset/Cercospora Leaf Spot/Cercospora Leaf Spot00009.JPG,cercospora_leaf_spot,3d322b0b1eb26ff4cbcdb3c0e920da8e925c072ceee520a2e2e305272dc2e388,3d322b0b1eb26ff4cbcdb3c0e920da8e925c072ceee520a2e2e305272dc2e388
A,/home/eecommulab/Documents/BT/Chilli_CrossDataset/data/raw/dataset_A_bangladesh/Chili Plant Leaf Disease and Growth Stage Dataset from Bangladesh/Chili Leaf Disease Original Dataset/Chili Leaf Disease Original Dataset/Cercospora Leaf Spot/Cercospora Leaf Spot00010.JPG,cercospora_leaf_spot,4a55cc82a6b2b5b2b32a3b2d712ad24ff90672dca63d8dfaa6ed5fc9c73a4fe6,4a55cc82a6b2b5b2b32a3b2d712ad24ff90672dca63d8dfaa6ed5fc9c73a4fe6
